timestamp,temperature_c,pressure_bar,flow_rate_m3h,vibration_mms,is_anomaly,anomaly_type,temp_pressure_ratio,hour,day_of_week
2024-01-01 00:00:00,207.45,26.61,317.41,3.57,0,normal,7.796,0,0
2024-01-01 00:05:00,197.93,28.47,314.17,4.27,0,normal,6.952,0,0
2024-01-01 00:10:00,209.72,27.01,253.17,1.14,0,normal,7.765,0,0
2024-01-01 00:15:00,222.85,30.55,328.98,0.94,0,normal,7.295,0,0
2024-01-01 00:20:00,196.49,35.99,225.5,1.9,0,normal,5.46,0,0
2024-01-01 00:25:00,196.49,26.14,267.29,0.12,0,normal,7.517,0,0
2024-01-01 00:30:00,223.69,35.0,200.05,2.35,0,normal,6.391,0,0
2024-01-01 00:35:00,211.51,26.09,377.93,3.05,0,normal,8.107,0,0
2024-01-01 00:40:00,192.96,25.76,288.42,1.01,0,normal,7.491,0,0
2024-01-01 00:45:00,208.14,34.09,408.34,0.38,0,normal,6.106,0,0
2024-01-01 00:50:00,193.05,34.61,340.15,0.1,0,normal,5.578,0,0
2024-01-01 00:55:00,193.01,34.26,322.4,2.03,0,normal,5.634,0,0
2024-01-01 01:00:00,206.22,23.42,278.45,0.63,0,normal,8.805,1,0
2024-01-01 01:05:00,173.89,27.67,255.45,1.25,0,normal,6.284,1,0
2024-01-01 01:10:00,176.71,34.11,333.91,0.98,0,normal,5.181,1,0
2024-01-01 01:15:00,194.15,30.21,304.19,0.38,0,normal,6.427,1,0
2024-01-01 01:20:00,187.4,24.63,240.8,1.42,0,normal,7.609,1,0
2024-01-01 01:25:00,207.3,32.29,231.92,1.23,0,normal,6.42,1,0
2024-01-01 01:30:00,188.97,26.43,259.83,1.96,0,normal,7.15,1,0
2024-01-01 01:35:00,181.4,38.97,398.81,0.58,0,normal,4.655,1,0
2024-01-01 01:40:00,224.57,37.72,418.43,0.48,0,normal,5.954,1,0
2024-01-01 01:45:00,256.75,33.02,318.01,3.37,1,temp_spike,7.776,1,0
2024-01-01 01:50:00,203.6,36.81,315.21,2.42,0,normal,5.531,1,0
2024-01-01 01:55:00,181.22,30.32,290.95,2.96,0,normal,5.977,1,0
2024-01-01 02:00:00,196.83,33.83,268.28,0.26,0,normal,5.818,2,0
2024-01-01 02:05:00,206.66,37.39,383.76,0.51,0,normal,5.527,2,0
2024-01-01 02:10:00,187.74,31.23,408.68,1.71,0,normal,6.012,2,0
2024-01-01 02:15:00,210.64,28.72,270.33,3.89,0,normal,7.334,2,0
2024-01-01 02:20:00,195.99,21.48,310.86,4.45,0,normal,9.124,2,0
2024-01-01 02:25:00,200.62,29.58,292.51,3.57,0,normal,6.782,2,0
2024-01-01 02:30:00,195.97,34.12,293.99,0.1,0,normal,5.744,2,0
2024-01-01 02:35:00,232.78,34.73,374.3,3.44,0,normal,6.703,2,0
2024-01-01 02:40:00,204.8,32.52,249.4,4.59,0,normal,6.298,2,0
2024-01-01 02:45:00,189.13,27.29,338.32,0.12,0,normal,6.93,2,0
2024-01-01 02:50:00,217.34,20.12,351.41,1.08,0,normal,10.802,2,0
2024-01-01 02:55:00,186.69,27.52,307.89,1.54,0,normal,6.784,2,0
2024-01-01 03:00:00,210.2,8.08,365.87,0.53,1,pressure_drop,26.015,3,0
2024-01-01 03:05:00,177.68,28.44,328.6,1.45,0,normal,6.248,3,0
2024-01-01 03:10:00,187.15,33.09,382.07,4.34,0,normal,5.656,3,0
2024-01-01 03:15:00,210.02,39.93,245.1,4.03,0,normal,5.26,3,0
2024-01-01 03:20:00,218.15,11.5,303.77,5.62,1,pressure_drop,18.97,3,0
2024-01-01 03:25:00,209.64,28.92,317.62,1.32,0,normal,7.249,3,0
2024-01-01 03:30:00,296.13,28.7,187.6,1.06,1,temp_spike,10.318,3,0
2024-01-01 03:35:00,202.55,30.62,266.92,2.19,0,normal,6.615,3,0
2024-01-01 03:40:00,184.89,25.86,280.53,1.08,0,normal,7.15,3,0
2024-01-01 03:45:00,196.27,30.6,368.62,0.1,0,normal,6.414,3,0
2024-01-01 03:50:00,200.16,32.25,285.87,2.55,0,normal,6.207,3,0
2024-01-01 03:55:00,222.93,31.05,280.31,0.66,0,normal,7.18,3,0
